sentence,human_label,inference
  The equilibrium level of national income in the IS–LM diagram is referred to as aggregate demand,1. The equilibrium level of national income in the IS-LM diagram is referred to as aggregate demand.,no
  It shows where money demand equals money supply,1. Money demand equals money supply.,no
The AD/AS model is used to illustrate the Keynesian model of the business cycle,1. The AD/AS model is used to illustrate the Keynesian model of the business cycle.,no
 A special case is a horizontal AS curve which means the price level is constant,"1. The AS curve is horizontal.
2. The price level is constant.",1. 1==>2
"The IS curve also represents the equilibria where total private investment equals total saving, with saving equal to consumer saving plus government saving (the budget surplus) plus foreign saving (the trade surplus)","1.The IS curve also represents the equilibria
2. total private investment equals total saving
3. saving equal to consumer saving plus government saving plus foreign saving ",no
" He later presented it in ""Mr.  Keynes and the Classics: A Suggested Interpretation""
",1. He presented it.,no
"The model was developed by John Hicks in 1937 and was later extended by Alvin Hansen, as a mathematical representation of Keynesian macroeconomic theory","1. John Hicks developed the model in 1937.
2. Alvin Hansen extended the model.
3.  The model is  a mathematical representation of Keynesian macroeconomic theory.",no
"For example, a shock increase in the price of oil is felt by producers as an increase in the factors of production","1. the price of oil has shock increase.
2. producers feel the increase.",no
 The two models produce the same results with a constant price level,1. The two models produce the same results.,no
The LM curve shows the combinations of interest rates and levels of real income for which the money market is in equilibrium,"1. The LM curve shows the combinations of interest rates and levels of real income.
2. The money market is in equilibrium.",no
The long-run aggregate supply curve of the classical model is affected by events that affect the potential output of the economy,"1. The long-run aggregate supply curve of the classical model is affected.
2. Events affect the potential output of the economy.",1.2==>1
"  Furthermore, the model can be incorporated as a component in any of a variety of dynamic models (models of how variables like the price level and others evolve over time)","1. incorporation of the model in dynamic models
2. evolution of variables like the price level and others over time",no
"  , where the supply of money is represented as the real amount M/P (as opposed to the nominal amount M), with P representing the price level, and L being the real demand for money, which is some function of the interest rate and the level of real income","1. The supply of money is represented as the real amount M/P.
2. P represents the price level.
3. L represents the real demand for money.
4. L is some function of the interest rate.
5. L is some function of the level of real income.",no
  Thus these too raise both equilibrium income and the equilibrium interest rate,"1. equilibrium income is raised.
2.  equilibrium interest rate is raised.",no
 The short-run aggregate supply curve has an upward slope for the same reasons the Keynesian AS curve has one: the law of diminishing returns and the scarcity of resources,"1. The short-run aggregate supply curve has an upward slope.
2. The law of diminishing returns applies to the short-run 
3. The scarcity of resources affects the short-run aggregate supply curve.
","1. 2==>1
2. 3==>1"
The IS–LM model also allows for the role of monetary policy,1. The IS-LM model allows for the role of monetary policy.,no
 Speculative demand is inversely related to the interest rate, 1. Speculative demand is inversely related to the interest rate,no
" As the aggregate demand curve is shifted outward, the general price level increases","1. The aggregate demand curve is shifted outward.
2. The general price level increases.",1. 1==>2
" The IS curve represents the locus where total spending (consumer spending + planned private investment + government purchases + net exports) equals total output (real income, Y, or GDP)","1. The IS curve represents the locus.
2. Total spending equals total output.",no
  In this case the nominal wage rate is endogenous and so does not appear as an independent variable in the aggregate supply equation,"1. The nominal wage rate is endogenous.
2. The nominal wage rate does not appear as an independent variable in the aggregate supply equation.",no
" Further, if government deficits are spent on productive public investment (e.g. , infrastructure or public health) that spending directly and eventually raises potential output, although not necessarily more (or less) than the lost private investment might have","1. government deficits are spent on productive public investment. 
2. Spending raises potential output.",1. 1==>2
" The ""short-run"" is defined as the period during which only final good prices adjust and factor, or input, costs do not","1. Final good prices adjust
2. Factor or input costs do not adjust",no
 This explains the downward slope of the IS curve,1. This explains the downward slope of the IS curve,no
 Firms' average costs of production therefore are assumed not to change as their output level changes,"1. Firms' average costs of production are not to change
2. Firms' output level changes.",no
Money supply is determined by central bank decisions and willingness of commercial banks to loan money,"1. Central bank determines money supply
2.  The willingness of commercial banks to loan money determines money supply",no
" If the money supply is increased, that shifts the LM curve downward or to the right, lowering interest rates and raising equilibrium national income","1. The money supply is increased.
2. The LM curve shifts downward.
3. The LM curve shifts to the right.
4. Interest rates are lowered.
5. Equilibrium national income is raised.","1. 1==>2
2. 1==>3
3. 2==>4
4. 3==>4
5. 2==>5
6. 3==>5"
"IS–LM model, or Hicks–Hansen model, is a  two-dimensional macroeconomic tool that shows the relationship between interest rates and assets market (also known as real output in goods and services market plus money market)","1.The IS-LM model is a  two-dimensional macroeconomic tool 
2. The IS-LM model shows the relationship between interest rates and asset market.",no
" This increased price level causes households, or the owners of the factors of production to demand higher prices for their goods and services","1. price level increases
2. households demand higher prices for their goods and services.
3.  owners of factors of production to demand higher prices for their goods and services.","1. 1==>2
2. 1==>3"
" For a contemporary and alternative reinvention of the IS-LM approach that uses Keynesian Search Theory, see Roger Farmer's work on the IS-LM-NAC model, part of his broader research agenda which studies how beliefs independently influence macroeconomic outcomes","1. Reinvention of the IS-LM approach uses Keynesian Search Theory
2. Roger Farmer's work on the IS-LM-NAC model studies how beliefs independently influence macroeconomic outcomes.",no
"  where W is the nominal wage rate (exogenous due to stickiness in the short run), Pe is the anticipated (expected) price level, and Z2 is a vector of exogenous variables that can affect the position of the labor demand curve (the capital stock or the current state of technological knowledge)",no event.,no
"  The real money supply has a positive effect on aggregate demand, as does real government spending; taxation has a negative effect on it","1. The real money supply has a positive effect on aggregate demand.
2. Real government spending has a positive effect on aggregate demand.
3. Taxation has a negative effect on aggregate demand.",no
" Mathematically, the LM curve is defined by the equation 
",no event.,no
 The liquidity preference function is downward sloping (i.e.  the willingness to hold cash increases as the interest rate decreases),"1. The liquidity preference function is downward sloping
2. One's willingness to hold cash increases.
3. Interest rate decreases.",1. 3==>2
" In response, the supply will slowly shift back to the steady state equilibrium, first with a large reaction, then consequently smaller reactions until it reaches steady state","1. The supply will shift back to the steady state equilibrium.
2. There will be a large reaction.
3. There will be subsequent smaller reactions.
4. The supply will reach steady state.",no
"  For the LM curve, the independent variable is income and the dependent variable is the interest rate","1. The independent variable of the LM curve is income.
2. The dependent variable of the LM curve is the interest rate.",no
 This slows the adjustment of the AS curve back to its steady state,1. the AS curve adjusts back to its steady state.,no
" The AD curve represents the locus of equilibrium in the IS–LM model, also invented and developed by Keynes","1. The AD curve represents the locus of equilibrium in the IS-LM model.
2. The IS-LM model was invented by Keynes.
3. The IS-LM model was developed by Keynes.",no
 But in practice the main role of the model is as a path to explain the AD–AS model,1. The model is a path to explain the AD-AS model,no
 This shifts the supply curve upward by raising expected inflation,"1.  the supply curve shifts.
2. the inflation is expected to raise.",1. 2==>1
" Thus the money supply function is represented as a vertical line – money supply is a constant, independent of the interest rate, GDP, and other factors","1. The money supply function is represented as a vertical line.
2. Money supply is a constant.
3. Money supply is independent of the interest rate.
4. Money supply is independent of GDP.
5. Money supply is independent of other factors.","1. 1==>2
2. 1==>3
3. 1==>4
4. 1==>5"
" Hicks, who had seen a draft of Harrod's paper, invented the IS–LM model (originally using the abbreviation ""LL"", not ""LM"")","1. Hicks had seen a draft of Harrod's paper.
2. Hicks invented the IS–LM model.",no
 These factors shift short-run curves exclusively,1. Factors shift short-run curves.,no
 This provides a rationale for Keynesians' support for government intervention,1.Keynesians support government intervention,no
" The upward slope is due to the law of diminishing returns as firms increase output, which states that it will become marginally more expensive to accomplish the same level of improvement in productive capacity as firms grow","1. The upward slope is due to the law of diminishing returns.
2. Firms increase output.
3. accomplish the same level of improvement in productive capacity will become marginally more expensive.
4. Firms grow.",1. 2==> 3
The classical aggregate supply curve comprises a short-run aggregate supply curve and a vertical long-run aggregate supply curve,"1. The classical aggregate supply curve comprises a short-run aggregate supply curve.
2. The classical aggregate supply curve comprises a vertical long-run aggregate supply curve.",no
" However, the Keynesian aggregate supply curve also contains a normally upward-sloping region where aggregate supply responds accordingly to changes in price level","1. The Keynesian aggregate supply curve contains a normally upward-sloping region.
2. aggregate supply responds accordingly to changes in price level","
1. 2==>1"
" Yet two equivalent interpretations are possible: first, the IS–LM model explains changes in national income when the price level is fixed in the short-run; second, the IS–LM model shows why an aggregate demand curve can shift","1. The IS-LM model explains changes in national income when the price level is fixed in the short run.
2. The IS-LM model shows why an aggregate demand curve can shift.",
"  Further, exogenous decreases in liquidity preference, perhaps due to improved transactions technologies, lead to downward shifts of the LM curve and thus increases in income and decreases in interest rates","1. Liquidity preference  has exogenous decreases.
2. Transactions technologies is improved.
3. The LM curve shifts downward.
4. Income increases.
5. Interest rates decreases.","1. 2==>1
2. 1==>3
3. 3==>4
4. 3==>5"
 The long-run aggregate supply curve is vertical because factor prices will have adjusted,"1. The long-run aggregate supply curve is vertical.
2. Factor prices will have adjusted.",1. 2==>1
 Factors revolve around changes in the quality and quantity of factors of production,"1. Changes in the quality of factors of production
2. Changes in the quantity of factors of production",no
" The vertical section of the Keynesian curve corresponds to the physical limit of the economy, where it is impossible to increase output","1. The vertical section of the Keynesian curve corresponds to the physical limit of the economy.
2. It is impossible to increase output.",1. 1==>2
 The multiplier effect of an increase in fixed investment resulting from a lower interest rate raises real GDP,"1. fixed investment increases
2. An interest rate becomes lower
3. Real GDP being raised.","1. 2==>1
2. 1==>3"
" It is also due to the scarcity of natural resources, the rarity of which causes increased production to also become more expensive","1. Scarcity of natural resources
2. Rarity of natural resources
3. Increased production becomes more expensive",1. 2==>3
" As the inflation slowly falls, so will the AS curve back to its steady state","1. The inflation slowly falls.
2. The AS curve will go back to its steady state.",1. 1==>2
 Monetarists have argued that demand-side expansionary policies favoured by Keynesian economists are solely inflationary,"1. demand-side expansionary policies are favoured by Keynesian economists 
2. demand-side expansionary policies are solely inflationary",no
" The ""long-run"" is the period after which factor prices are able to adjust accordingly",1. Factor prices are able to adjust accordingly.,no
